area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,18-Apr,Cagayan de Oro,3 Bedroom,MRvar S,1500,3,1,8349000
Plot  Area,Ready To Move,Kidapawan,4 Bedroom,,1100,5,2,8349000
Built-up  Area,18-Mar,Malabon,3 Bedroom,,2200,3,1,8349000
Super built-up  Area,Ready To Move,Escalante,3 BHK,,1859,3,2,8349000
Built-up  Area,18-Dec,Iligan,3 BHK,Kelmsoy,1919,3,2,8349000
Super built-up  Area,Ready To Move,Tagum,3 BHK,,1920,4,2,8349000
Super built-up  Area,Ready To Move,Koronadal,3 BHK,Spews L,1850,4,2,8349000
Super built-up  Area,Ready To Move,Tagbilaran,3 BHK,Brway G,1830,3,3,8349000
Super built-up  Area,21-Dec,Angeles,4 BHK,Brnia G,2204 - 2362,,,8349000
Super built-up  Area,19-Dec,Meycauayan,3 BHK,Sumesa ,1755,3,1,8418000
Super built-up  Area,Ready To Move,Palayan,3 BHK,,1525,2,3,8418000
Super built-up  Area,Ready To Move,Lapu-Lapu,3 BHK,,1917,3,3,8418000
Super built-up  Area,Ready To Move,Tagaytay,3 BHK,,1650,3,,8418000
Super built-up  Area,19-Dec,Isabela,2 BHK,SRbiaxu,1365,2,1,8418000
Super built-up  Area,20-Nov,La Carlota,3 BHK,Prlis A,1778,3,2,8418000
Plot  Area,Ready To Move,Ilagan,4 Bedroom,Wiowsri,600,4,2,8418000
Super built-up  Area,Ready To Move,Davao City,3 BHK,MVnexde,1755,3,2,8418000
Super built-up  Area,19-Jan,Candon,3 BHK,Esave E,1591,3,1,8418000
Built-up  Area,Ready To Move,Baguio,3 BHK,,2072,3,2,8418000
Super built-up  Area,Ready To Move,Guihulngan,3 BHK,VBvenal,1935,4,2,8418000
Super built-up  Area,Ready To Move,Valencia,3 BHK,,1680,3,2,8418000
Plot  Area,Ready To Move,Cebu City,6 Bedroom,DLhtsnd,1200,9,3,8418000
Super built-up  Area,Ready To Move,Cavite City,3 BHK,,1930,4,2,8418000
Super built-up  Area,Ready To Move,Bayugan,3 BHK,,1852,4,2,8418000
Super built-up  Area,Ready To Move,General Santos,3 BHK,,1930,4,2,8418000
Super built-up  Area,Ready To Move,Taguig,3 BHK,Soazak ,1920,3,3,8418000
Super built-up  Area,18-May,Batangas,3 BHK,,1804 - 2273,3,0,8418000
Super built-up  Area,19-Aug,Mandaluyong,4 BHK,Ieuseut,2400 - 2600,6,0,8452500
Super built-up  Area,Ready To Move,Kabankalan,3 BHK,Sothin ,1760,2,2,8487000
Super built-up  Area,Ready To Move,Bislig,3 BHK,Sreat R,1847,3,2,8487000
Super built-up  Area,Ready To Move,El Salvador,2 BHK,,1420,2,1,8487000
Super built-up  Area,Ready To Move,Santa Rosa,3 BHK,,1900,3,3,8487000
Super built-up  Area,Ready To Move,Tanjay,3 BHK,,1975,3,3,8487000
Built-up  Area,Ready To Move,Ligao,3 BHK,,1639,3,3,8487000
Super built-up  Area,19-Jun,Olongapo,3 BHK,MadorSp,1512,3,1,8487000
Super built-up  Area,Ready To Move,Bayawan,3 BHK,,1760,3,2,8487000
Super built-up  Area,19-Jan,Pasig,3 BHK,,1787,3,2,8487000
Super built-up  Area,19-Dec,San Pedro,3 BHK,,1750,3,1,8487000
Super built-up  Area,19-Dec,Tarlac City,3 BHK,,1858,3,1,8487000
Super built-up  Area,19-May,Tacurong,3 BHK,Saavean,1996,4,1,8487000
Super built-up  Area,Ready To Move,Bogo,3 BHK,PrarePa,1847,3,2,8487000
Super built-up  Area,18-Aug,Naga,2 BHK,Asnex A,1357,2,1,8487000
Built-up  Area,Ready To Move,Calapan,7 BHK,Soresea,2040,4,3,8487000
Super built-up  Area,19-Dec,Balanga,3 BHK,,1865,3,1,8556000
Plot  Area,Immediate Possession,San Fernando,,,2000 - 5634,,,8556000
Super built-up  Area,Ready To Move,Butuan,3 BHK,Prensya,1754,3,2,8556000
Super built-up  Area,19-Jun,Makati,3 BHK,,1700,3,2,8556000
Super built-up  Area,19-Jun,Panabo,4 BHK,SRldsnt,2462,4,3,8556000
Super built-up  Area,Ready To Move,Silay,3 BHK,Srconor,1724,3,2,8556000
Super built-up  Area,18-Apr,San Carlos,2 BHK,,1180,2,3,8556000
Super built-up  Area,18-May,Danao,3 BHK,MenueNo,1621,3,1,8556000
Super built-up  Area,18-Jul,Trece Martires,2 BHK,,1376,2,1,8556000
Super built-up  Area,19-Dec,Alaminos,3 BHK,,1776,3,2,8556000
Built-up  Area,Ready To Move,Tandag,3 BHK,SLnssPr,1925,3,,8625000
Super built-up  Area,Ready To Move,Bacolod,3 BHK,Adeatlm,1724,3,2,8625000
Super built-up  Area,Ready To Move,Catbalogan,3 BHK,FBazaah,1787,3,2,8625000
Super built-up  Area,Ready To Move,Legazpi,3 BHK,RInceeg,1762,3,1,8625000
Plot  Area,Ready To Move,Gingoog,4 Bedroom,,1200,2,0,8625000
Super built-up  Area,18-Apr,Sorsogon City,3 BHK,,1599,3,2,8625000
Super built-up  Area,Ready To Move,Tabuk,3 BHK,,2100,3,2,8625000
Built-up  Area,Ready To Move,Vigan,3 BHK,,1590,2,2,8625000
Plot  Area,Ready To Move,Roxas,6 Bedroom,GKityde,1200,4,2,8625000
Super built-up  Area,Ready To Move,Lamitan,3 BHK,Prldsum,1575,3,2,8625000
Super built-up  Area,Ready To Move,Gapan,3 BHK,,2225,2,1,8625000
Plot  Area,Ready To Move,Lucena,8 Bedroom,Prtates,2400,6,3,8625000
Built-up  Area,Ready To Move,Dumaguete,5 Bedroom,DLhtsen,1600,4,0,8625000
Super built-up  Area,17-Dec,Passi,3 BHK,,1824,3,3,8625000
Super built-up  Area,17-Dec,Samal,6 BHK,Srrnasa,1200,6,2,8625000
Super built-up  Area,18-Mar,Calbayog,3 BHK,,1650,3,2,8625000
Super built-up  Area,Ready To Move,Calamba,3 BHK,,1765,3,1,8625000
Super built-up  Area,Ready To Move,Ozamiz,2 BHK,Prs 2hi,1694,2,2,8625000
Super built-up  Area,Ready To Move,Tuguegarao,3 BHK,,1690,3,1,8625000
Super built-up  Area,Ready To Move,General Trias,3 BHK,,1745,3,2,8625000
Plot  Area,Ready To Move,Navotas,3 Bedroom,Oreldhi,1200,3,1,8625000
Built-up  Area,Ready To Move,Mandaue,7 Bedroom,Sryalan,2800,7,2,8625000
Plot  Area,Ready To Move,Talisay,2 Bedroom,LGrldti,1200,2,1,8625000
Plot  Area,Ready To Move,San Carlos,4 Bedroom,Goted U,1204,4,1,8625000
Super built-up  Area,Ready To Move,Maasin,3 BHK,GoandAc,2017,3,2,8625000
Super built-up  Area,Ready To Move,Pasay,3 BHK,Naavehi,1754,3,2,8625000
Plot  Area,Ready To Move,San Jose del Monte,2 Bedroom,SoechHa,1200,2,2,8625000
Super built-up  Area,19-Jul,Cabanatuan,3 BHK,Puncyya,1592,3,,8625000
Built-up  Area,18-Feb,Tayabas,5 BHK,Pumesim,2700,7,2,8625000
Built-up  Area,Ready To Move,Lipa,3 BHK,,1590,2,2,8625000
Super built-up  Area,Ready To Move,Tacloban,2 BHK,,1478,2,2,8625000
Super built-up  Area,Ready To Move,Marawi,3 BHK,,1500,2,2,8625000
Super built-up  Area,Ready To Move,Bais,3 BHK,GRhtiru,1445,2,2,8625000
Super built-up  Area,Ready To Move,Cabuyao,3 BHK,,2150,4,2,8625000
Plot  Area,Ready To Move,Bacoor,5 Bedroom,Meowns ,2800,5,2,8625000
Super built-up  Area,18-Jul,Cotabato City,3 BHK,,1665,2,3,8625000
Plot  Area,Ready To Move,San Juan,2 Bedroom,Maunt M,1200,2,1,8625000
Super built-up  Area,Ready To Move,Talisay,4 BHK,,2145,4,,8625000
Plot  Area,Ready To Move,Sipalay,4 Bedroom,Klark L,1200,4,0,8625000
Super built-up  Area,Ready To Move,Santiago,4 BHK,KBityo ,1896,3,1,8625000
Super built-up  Area,Ready To Move,Carcar,3 BHK,Nileyap,1965,4,2,8625000
Super built-up  Area,Ready To Move,Quezon City,3 BHK,,1700,3,2,8625000
Built-up  Area,Ready To Move,Canlaon,2 Bedroom,,1200,2,1,8625000
Super built-up  Area,18-May,Dapitan,3 BHK,Prtanha,1594,3,,8625000
Super built-up  Area,Ready To Move,Santo Tomas,3 BHK,Tahtsla,1734,3,3,8625000
Built-up  Area,Ready To Move,Dipolog,3 BHK,Sariaat,1678,3,2,8625000
Built-up  Area,Ready To Move,Muntinlupa,6 Bedroom,Bhacy L,675,6,2,8625000
Built-up  Area,Ready To Move,San Fernando,3 BHK,Roarkan,1690,3,2,8625000
Super built-up  Area,Ready To Move,Imus,14 BHK,Prhar G,1250,15,0,8625000
Super built-up  Area,18-Aug,Ormoc,3 BHK,RInceeg,1520,2,2,8625000
Super built-up  Area,Ready To Move,Urdaneta,4 BHK,Elodsre,2155,3,3,8625000
Built-up  Area,Ready To Move,Dagupan,2 BHK,Sklls C,1150,2,2,8625000
Super built-up  Area,Ready To Move,Puerto Princesa,3 BHK,Almid P,1832,3,1,8625000
Plot  Area,Ready To Move,Caloocan,1 Bedroom,Corus C,1200,1,1,8625000
Super built-up  Area,Ready To Move,Digos,3 BHK,SunetSo,2017,2,2,8625000
Plot  Area,Ready To Move,Bago,5 Bedroom,Trurea ,1200,7,2,8625000
Super built-up  Area,18-Mar,Borongan,3 BHK,Sariaat,2145,3,3,8625000
Super built-up  Area,Ready To Move,Mati,3 BHK,RookaJh,1862,3,2,8625000
Super built-up  Area,Ready To Move,Tanauan,4 BHK,,2010,3,2,8625000
Super built-up  Area,Ready To Move,Iloilo City,3 BHK,Mayne A,1500,3,2,8625000
Built-up  Area,Ready To Move,Cabadbaran,3 BHK,,1560,3,3,8625000
Super built-up  Area,Ready To Move,Pagadian,3 BHK,,1680,3,2,8625000
Built-up  Area,Ready To Move,Sagay,3 BHK,Coronte,1783,3,2,8625000
Built-up  Area,Ready To Move,Toledo,4 Bedroom,,2100,3,1,8625000
Super built-up  Area,18-Feb,Baybay,3 BHK,PaantPl,1476,3,1,8625000
Plot  Area,Ready To Move,Marikina,3 Bedroom,NRosete,1500,3,3,8625000
Plot  Area,Ready To Move,Antipolo,4 Bedroom,AlEcone,1050,3,2,8625000
Super built-up  Area,Ready To Move,Manila,3 BHK,Coa It ,1480,2,2,8625000
Plot  Area,Ready To Move,Himamaylan,6 Bedroom,AkArkti,1680,6,1,8625000
Super built-up  Area,Ready To Move,Iriga,3 BHK,Deade A,2010,3,3,8625000
Built-up  Area,Ready To Move,Masbate,5 Bedroom,Klark L,2500,7,0,8625000
Built-up  Area,Ready To Move,Valenzuela,7 Bedroom,,2400,7,1,8625000
Super built-up  Area,Ready To Move,Cauayan,3 BHK,Sryalan,1713,3,3,8625000
Super built-up  Area,Ready To Move,Tangub,3 BHK,KHnumla,1900,3,3,8625000
Super built-up  Area,Ready To Move,Surigao,3 BHK,SSdhimr,1703,3,2,8625000
Plot  Area,Ready To Move,Zamboanga City,4 Bedroom,AlEcone,600,4,2,8625000
Built-up  Area,Ready To Move,Oroquieta,5 Bedroom,Prlla C,2500,5,2,8625000
Super built-up  Area,Ready To Move,Mabalacat,3 BHK,,1829,3,2,8625000
Plot  Area,Ready To Move,San Pablo,4 Bedroom,SLtias ,600,4,3,8625000
Built-up  Area,Ready To Move,San Jose,3 BHK,,1693,3,2,8625000
Super built-up  Area,Ready To Move,Batac,3 BHK,,1693,3,1,8625000
Super built-up  Area,19-Sep,Malolos,3 BHK,,2122,3,2,8625000
Plot  Area,Ready To Move,Naga,1 Bedroom,RInceeg,2Acres,1,0,8625000
Super built-up  Area,Ready To Move,Laoag,2 BHK,DiiteR ,2400,2,3,8625000
Plot  Area,Ready To Move,Cadiz,3 Bedroom,,1200,3,,8625000
Plot  Area,Ready To Move,Victorias,4 Bedroom,SLureSi,1200,3,2,8625000
Super built-up  Area,18-Apr,Tabaco,3 BHK,,1890,4,3,8625000
Super built-up  Area,Ready To Move,Malaybalay,3 BHK,GMown E,1728,3,2,8625000
Super built-up  Area,Ready To Move,Cagayan de Oro,3 BHK,,1680,3,3,8625000
Plot  Area,Ready To Move,Kidapawan,5 Bedroom,,2400,6,3,8625000
Super built-up  Area,18-Dec,Malabon,3 BHK,,1724,3,1,8625000
Plot  Area,Ready To Move,Escalante,1 Bedroom,,1.26Acres,1,0,8625000
Super built-up  Area,Ready To Move,Iligan,3 BHK,PuandHi,1847,3,2,8625000
Built-up  Area,Ready To Move,Tagum,2 BHK,,1370,2,2,8625000
Built-up  Area,Ready To Move,Koronadal,3 Bedroom,KHage G,2650,3,2,8625000
Built-up  Area,Ready To Move,Tagbilaran,3 BHK,,1800,4,1,8625000
Plot  Area,Ready To Move,Angeles,4 Bedroom,,860,4,2,8625000
Super built-up  Area,Ready To Move,Meycauayan,2 BHK,Prityel,1517,2,2,8625000
Super built-up  Area,Ready To Move,Palayan,3 BHK,,1693,3,2,8625000
Super built-up  Area,Ready To Move,Lapu-Lapu,3 BHK,,1826,3,2,8625000
Super built-up  Area,Ready To Move,Tagaytay,3 BHK,DLhtsnd,1836,3,2,8625000
Built-up  Area,Ready To Move,Isabela,2 Bedroom,HRaniIb,1100,3,0,8625000
Super built-up  Area,19-Jul,La Carlota,3 BHK,,1592,3,,8625000
Super built-up  Area,Ready To Move,Ilagan,4 BHK,,2496,4,2,8625000
Super built-up  Area,Ready To Move,Davao City,3 BHK,Maisehi,1600,3,1,8625000
Built-up  Area,Ready To Move,Candon,3 BHK,,1695,3,2,8625000
Built-up  Area,Ready To Move,Baguio,3 Bedroom,NCaveun,2400,2,1,8625000
Super built-up  Area,Ready To Move,Guihulngan,3 BHK,,1580,3,3,8625000
Super built-up  Area,Ready To Move,Valencia,3 BHK,,1680,3,2,8625000
Plot  Area,18-May,Cebu City,6 Bedroom,Pumesim,1200,6,,8625000
Plot  Area,Ready To Move,Cavite City,4 Bedroom,Mahosya,1200,4,1,8625000
Built-up  Area,Ready To Move,Bayugan,2 Bedroom,,984,2,2,8625000
Built-up  Area,Ready To Move,General Santos,3 BHK,,1950,3,2,8625000
Super built-up  Area,Ready To Move,Taguig,3 BHK,IBityin,1560,2,2,8625000
Built-up  Area,Ready To Move,Batangas,3 BHK,,1603,2,0,8625000
Super built-up  Area,Ready To Move,Mandaluyong,3 BHK,,1700,3,3,8625000
Super built-up  Area,18-May,Kabankalan,3 BHK,,1890,4,3,8625000
Built-up  Area,Ready To Move,Bislig,3 BHK,,1800,3,2,8625000
Super built-up  Area,Ready To Move,El Salvador,3 BHK,,2437,3,2,8625000
Plot  Area,Ready To Move,Santa Rosa,4 Bedroom,,700,4,2,8625000
Super built-up  Area,Ready To Move,Tanjay,2 BHK,DLhtsen,1478,2,2,8625000
Super built-up  Area,Ready To Move,Ligao,3 BHK,,1711,3,2,8625000
Plot  Area,Ready To Move,Olongapo,3 Bedroom,,600,3,2,8625000
Super built-up  Area,Ready To Move,Bayawan,3 BHK,,1555,3,2,8625000
Super built-up  Area,Ready To Move,Pasig,3 BHK,Asintas,2100,3,3,8625000
Built-up  Area,Ready To Move,San Pedro,3 Bedroom,Srnumum,2316,3,0,8625000
Super built-up  Area,Ready To Move,Tarlac City,3 BHK,Reitice,2000,3,3,8625000
Super built-up  Area,Ready To Move,Tacurong,3 BHK,,1935,4,2,8625000
Super built-up  Area,19-May,Bogo,3 BHK,,2030,4,1,8625000
Built-up  Area,Ready To Move,Naga,1 Bedroom,Vaniai ,600,1,1,8625000
Built-up  Area,Ready To Move,Calapan,2 Bedroom,PualeSk,1050,2,2,8625000
Plot  Area,Ready To Move,Balanga,8 Bedroom,,3600,9,3,8625000
Super built-up  Area,Ready To Move,San Fernando,3 BHK,Lelia M,1800,3,2,8625000
Super built-up  Area,18-May,Butuan,3 BHK,,1586,3,1,8625000
Plot  Area,Ready To Move,Makati,3 Bedroom,Soiniy ,600,4,2,8625000
Super built-up  Area,Ready To Move,Panabo,3 BHK,Eladero,1752.12,3,2,8625000
Super built-up  Area,18-Oct,Silay,3 BHK,,2280,4,2,8625000
Built-up  Area,Ready To Move,San Carlos,3 BHK,AsastDe,1698,3,2,8625000
Super built-up  Area,18-Mar,Danao,3 BHK,,1885,3,1,8625000
Plot  Area,18-May,Trece Martires,4 Bedroom,RatosAr,1200,4,2,8625000
Plot  Area,17-Aug,Alaminos,5 Bedroom,,1200,5,1,8625000
Super built-up  Area,Ready To Move,Tandag,3 BHK,Bregae ,1756,3,2,8625000
Built-up  Area,Ready To Move,Bacolod,5 Bedroom,ShshaSa,2700,4,2,8625000
Built-up  Area,Ready To Move,Catbalogan,3 BHK,Prarkun,1520,3,2,8625000
Plot  Area,Ready To Move,Legazpi,4 Bedroom,,1200,4,1,8625000
Plot  Area,Ready To Move,Gingoog,2 Bedroom,,2400,2,1,8625000
Plot  Area,Ready To Move,Sorsogon City,4 Bedroom,,750,4,2,8625000
Super built-up  Area,Ready To Move,Tabuk,3 BHK,Alsta F,1965,4,2,8625000
Super built-up  Area,Ready To Move,Vigan,3 BHK,SoitaCa,1852,3,2,8625000
Super built-up  Area,22-Jun,Roxas,3 BHK,Soe 2as,1660,3,2,8625000
Built-up  Area,Ready To Move,Lamitan,3 BHK,Prone M,1694,3,1,8625000
Super built-up  Area,19-Feb,Gapan,3 BHK,IDldsin,1650,3,3,8625000
Super built-up  Area,Ready To Move,Lucena,3 BHK,SrEndPo,1724,3,1,8625000
Super built-up  Area,Ready To Move,Dumaguete,3 BHK,,1717,3,3,8625000
Super built-up  Area,Ready To Move,Passi,2 BHK,Jae 1ke,1410,2,3,8625000
Super built-up  Area,Ready To Move,Samal,2 BHK,,1245,2,1,8625000
Plot  Area,Ready To Move,Calbayog,4 Bedroom,,2665,5,3,8625000
Plot  Area,Ready To Move,Calamba,4 Bedroom,PlhtsHe,1200,4,2,8625000
Plot  Area,Ready To Move,Ozamiz,6 Bedroom,Asara S,1200,3,,8625000
Super built-up  Area,Ready To Move,Tuguegarao,3 BHK,,1730,3,2,8625000
Plot  Area,Ready To Move,General Trias,5 Bedroom,DSineSt,1375,5,1,8625000
Super built-up  Area,Ready To Move,Navotas,4 BHK,,2806 - 3019,6,0,8659500
Super built-up  Area,Ready To Move,Mandaue,2 BHK,,1150,2,2,8694000
Super built-up  Area,18-Dec,Talisay,3 BHK,,2280,4,2,8694000
Super built-up  Area,Ready To Move,San Carlos,3 BHK,JKmesHo,2106,3,2,8694000
Super built-up  Area,Ready To Move,Maasin,3 BHK,,1936,4,2,8694000
Built-up  Area,Ready To Move,Pasay,3 BHK,PSterAs,1700,3,2,8694000
Super built-up  Area,Ready To Move,San Jose del Monte,3 BHK,,2106,3,2,8694000
Super built-up  Area,Ready To Move,Cabanatuan,3 BHK,,1825,3,2,8694000
Super built-up  Area,Ready To Move,Tayabas,3 BHK,,1810,3,2,8694000
Super built-up  Area,Ready To Move,Lipa,3 BHK,ARomee ,1590,2,2,8694000
Super built-up  Area,Ready To Move,Tacloban,3 BHK,SVthaho,1720,2,2,8694000
Super built-up  Area,19-Jul,Marawi,3 BHK,Bhmesy ,1703,3,2,8694000
Built-up  Area,Ready To Move,Bais,3 BHK,MyeurGr,1700,3,2,8694000
Built-up  Area,Ready To Move,Cabuyao,3 BHK,Prtanha,1680,3,2,8694000
Super built-up  Area,Ready To Move,Bacoor,3 BHK,Ahriaup,1650,3,,8694000
Plot  Area,Ready To Move,Cotabato City,4 Bedroom,,1125,3,2,8694000
Built-up  Area,Ready To Move,San Juan,3 BHK,Vaensnd,2195,4,2,8763000
Super built-up  Area,18-Mar,Talisay,3 BHK,Essic C,1890,4,3,8763000
Super built-up  Area,21-Mar,Sipalay,3 BHK,,1790,3,2,8763000
Super built-up  Area,17-Dec,Santiago,3 BHK,,1724,3,2,8763000
Super built-up  Area,Ready To Move,Carcar,3 BHK,Mawerer,1687,3,3,8763000
Super built-up  Area,21-May,Quezon City,3 BHK,JRrnauv,1559,3,2,8763000
Super built-up  Area,Ready To Move,Canlaon,3 BHK,IBictnd,1760,3,2,8763000
Super built-up  Area,18-Aug,Dapitan,2 BHK,PrrloMo,1268,2,1,8763000
Super built-up  Area,21-Dec,Santo Tomas,3 BHK,MJtroty,1804,3,2,8763000
Plot  Area,Ready To Move,Dipolog,2 Bedroom,,1200,2,2,8832000
Built-up  Area,Ready To Move,Muntinlupa,2 Bedroom,Goodsrb,1800,1,1,8832000
Super built-up  Area,18-Dec,San Fernando,3 BHK,Prarkun,2321,4,1,8832000
Plot  Area,Ready To Move,Imus,5 Bedroom,,1270,4,1,8832000
Plot  Area,Ready To Move,Ormoc,4 Bedroom,,1632,3,1,8832000
Plot  Area,Ready To Move,Urdaneta,3 Bedroom,,1200,3,2,8832000
Plot  Area,Ready To Move,Dagupan,6 Bedroom,,806,3,1,8832000
Super built-up  Area,19-Dec,Puerto Princesa,3 BHK,GolusLi,2173,3,2,8832000
Super built-up  Area,Ready To Move,Caloocan,3 BHK,,1760,3,2,8832000
Super built-up  Area,Ready To Move,Digos,2 BHK,,1180,2,1,8832000
Super built-up  Area,Ready To Move,Bago,3 BHK,Pu270a ,1756,3,2,8832000
Super built-up  Area,Ready To Move,Borongan,3 BHK,SNnia E,2041,3,3,8832000
Super built-up  Area,19-Mar,Mati,3 BHK,Saitya ,1138,3,2,8832000
Plot  Area,Ready To Move,Tanauan,2 Bedroom,Soweray,900,2,0,8832000
Super built-up  Area,19-Mar,Iloilo City,3 BHK,Mayne A,1138,3,2,8832000
Super built-up  Area,22-Jun,Cabadbaran,3 BHK,AsastDe,1660,3,2,8832000
Super built-up  Area,Ready To Move,Pagadian,3 BHK,,1800,3,2,8832000
Super built-up  Area,Ready To Move,Sagay,3 BHK,NDionas,1724,3,2,8832000
Super built-up  Area,18-Feb,Toledo,3 BHK,Thuse F,1720,3,2,8832000
Super built-up  Area,21-Jun,Baybay,3 BHK,JSyane ,1933,3,1,8901000
Super built-up  Area,16-Jul,Marikina,2 BHK,,1300,2,1,8901000
Super built-up  Area,Ready To Move,Antipolo,3 BHK,,1918,3,2,8901000
Super built-up  Area,Ready To Move,Manila,4 BHK,Shateor,2340,5,1,8901000
Carpet  Area,18-Dec,Himamaylan,4 BHK,,1548.3,4,1,8901000
Super built-up  Area,Ready To Move,Iriga,3 BHK,,1949,3,2,8901000
Super built-up  Area,Ready To Move,Masbate,4 BHK,SNity S,2340,5,1,8901000
Super built-up  Area,22-Jun,Valenzuela,3 BHK,Wiowsri,1639,3,2,8901000
Super built-up  Area,Ready To Move,Cauayan,3 BHK,MJlese ,1921,4,3,8901000
Super built-up  Area,Ready To Move,Tangub,3 BHK,,1904,3,2,8901000
Built-up  Area,Ready To Move,Surigao,4 BHK,SoystAm,1948,4,2,8901000
Super built-up  Area,21-Dec,Zamboanga City,3 BHK,GrrvaGr,1814,3,1,8901000
Super built-up  Area,Ready To Move,Oroquieta,3 BHK,,2162.03,4,2,8901000
Plot  Area,Ready To Move,Mabalacat,2 Bedroom,Sonviik,800,1,1,8970000
Super built-up  Area,18-Dec,San Pablo,3 BHK,Miitat ,1760,2,2,8970000
Built-up  Area,Ready To Move,San Jose,3 BHK,,1702,3,2,8970000
Built-up  Area,Ready To Move,Batac,3 BHK,,35000,3,3,8970000
Super built-up  Area,Ready To Move,Malolos,3 BHK,,1750,3,2,8970000
Super built-up  Area,20-Dec,Naga,4 BHK,SNnia E,1950,4,0,8970000
Built-up  Area,18-Feb,Laoag,3 BHK,Soresea,1897,3,2,8970000
Super built-up  Area,Ready To Move,Cadiz,3 BHK,Ascid P,1935,4,2,8970000
Carpet  Area,Ready To Move,Victorias,6 Bedroom,Pao 2Sm,1500,5,1,8970000
Super built-up  Area,18-Feb,Tabaco,3 BHK,VRave E,1621,4,0,8970000
Plot  Area,Ready To Move,Malaybalay,3 Bedroom,Maarkr ,1200,3,1,8970000
Plot  Area,18-May,Cagayan de Oro,3 Bedroom,Roima A,1500,3,1,8970000
Built-up  Area,Ready To Move,Kidapawan,2 BHK,SoitaCa,1000,2,1,8970000
Plot  Area,Ready To Move,Malabon,4 Bedroom,Saeraep,1550,4,2,8970000
Plot  Area,Ready To Move,Escalante,5 Bedroom,,1350,4,1,8970000
Plot  Area,Ready To Move,Iligan,3 Bedroom,Vaniai ,682,2,1,8970000
Plot  Area,Ready To Move,Tagum,4 Bedroom,Prdhue ,1200,4,,8970000
Super built-up  Area,Ready To Move,Koronadal,3 BHK,,1700,3,2,8970000
Super built-up  Area,18-Dec,Tagbilaran,3 BHK,,1920,3,2,8970000
Plot  Area,Ready To Move,Angeles,3 Bedroom,RothaVa,2400,4,1,8970000
Super built-up  Area,Ready To Move,Meycauayan,3 BHK,PuendWe,2475,4,,8970000
Plot  Area,Ready To Move,Palayan,2 Bedroom,,1200,2,0,8970000
Super built-up  Area,Ready To Move,Lapu-Lapu,5 BHK,,2500,5,3,8970000
Built-up  Area,Ready To Move,Tagaytay,3 Bedroom,Patust ,1950,3,2,8970000
Built-up  Area,Ready To Move,Isabela,3 BHK,,1750,3,1,8970000
Built-up  Area,Ready To Move,La Carlota,4 Bedroom,Marthur,2700,4,2,8970000
Super built-up  Area,Ready To Move,Ilagan,2 BHK,Brium C,1468,3,2,8970000
Built-up  Area,Ready To Move,Davao City,6 Bedroom,,2400,6,0,8970000
Plot  Area,Ready To Move,Candon,3 Bedroom,Hotat H,2200,3,2,8970000
Plot  Area,Ready To Move,Baguio,2 Bedroom,Srncya ,1200,2,1,8970000
Plot  Area,Ready To Move,Guihulngan,3 Bedroom,,1200,3,2,8970000
Plot  Area,Ready To Move,Valencia,4 Bedroom,,2400,4,1,8970000
Plot  Area,Ready To Move,Cebu City,3 Bedroom,Srntssh,1200,3,1,8970000
Super built-up  Area,17-Nov,Cavite City,2 BHK,Goner C,1392,2,1,8970000
Super built-up  Area,Ready To Move,Bayugan,3 BHK,,1725,3,2,8970000
Built-up  Area,Ready To Move,General Santos,3 BHK,,1874,4,1,8970000
Plot  Area,Ready To Move,Taguig,3 Bedroom,DNncasa,1500,2,1,8970000
Plot  Area,Ready To Move,Batangas,4 Bedroom,,1200,4,0,8970000
Super built-up  Area,Ready To Move,Mandaluyong,4 BHK,ArndsSk,2283,4,2,8970000
Plot  Area,Ready To Move,Kabankalan,8 Bedroom,PrncyRe,1200,7,3,8970000
Super built-up  Area,Ready To Move,Bislig,3 BHK,,1893,3,1,8970000
Super built-up  Area,Ready To Move,El Salvador,7 BHK,SunceEs,4000,7,2,8970000
Super built-up  Area,18-May,Santa Rosa,3 BHK,Vrenty ,1948,3,2,8970000
Super built-up  Area,Ready To Move,Tanjay,3 BHK,Soazak ,1255,3,1,8970000
Super built-up  Area,Ready To Move,Ligao,3 BHK,,1750,3,2,8970000
Super built-up  Area,Ready To Move,Olongapo,2 BHK,DSOakil,1554,3,3,8970000
Super built-up  Area,Ready To Move,Bayawan,3 BHK,Maenara,2065,3,2,8970000
Plot  Area,Ready To Move,Pasig,4 Bedroom,Ahriaup,1200,2,1,8970000
Plot  Area,Ready To Move,San Pedro,3 Bedroom,,1140,3,1,8970000
Super built-up  Area,18-Apr,Tarlac City,3 BHK,Miitat ,1766,3,1,8970000
Plot  Area,Ready To Move,Tacurong,4 Bedroom,,2230,4,1,8970000
Built-up  Area,Ready To Move,Bogo,3 BHK,SheldGr,1620,3,2,8970000
Super built-up  Area,Ready To Move,Naga,9 BHK,Santspa,4700,10,3,8970000
Plot  Area,Ready To Move,Calapan,5 Bedroom,,1200,4,,8970000
Super built-up  Area,Ready To Move,Balanga,5 BHK,,4000,3,0,8970000
Plot  Area,Ready To Move,San Fernando,3 Bedroom,,950,3,2,8970000
Super built-up  Area,Ready To Move,Butuan,3 BHK,Itvir M,1852,3,2,8970000
Super built-up  Area,18-Dec,Makati,3 BHK,GrrvaGr,1985,3,2,8970000
